Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
Wii,2008,Simulation,Nintendo,1.82,1.12,1.32,0.36,4.62,73.0,7.6,E
PS4,2015,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86.0,8.1,T
SNES,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61,71.0,7.5,
GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,96.0,8.9,E
Wii,2007,Misc,Activision,3.04,1.11,0.0,0.43,4.6,86.0,8.4,T
3DS,2013,Action,Nintendo,1.8,1.39,1.11,0.29,4.59,86.0,8.4,E
X360,2011,Racing,Microsoft Game Studios,2.08,1.97,0.06,0.46,4.57,91.0,8.2,E
Wii,2009,Sports,Sega,1.87,1.96,0.22,0.48,4.53,71.0,7.5,
PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,91.0,7.9,E
X360,2007,Misc,Activision,3.19,0.91,0.01,0.42,4.53,85.0,7.9,T
2600,1981,Platform,Activision,4.21,0.24,0.0,0.05,4.5,71.0,7.5,
PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84.0,8.2,E
XOne,2015,Shooter,Microsoft Game Studios,2.78,1.27,0.03,0.41,4.48,84.0,6.4,T
PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48,76.0,7.9,E
PS,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47,71.0,7.5,
PS4,2016,Shooter,Activision,1.61,2.0,0.15,0.71,4.46,77.0,3.4,M
PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,94.0,8.9,M
WiiU,2015,Shooter,Nintendo,1.54,1.18,1.46,0.26,4.43,81.0,8.5,E10+
WiiU,2012,Misc,Nintendo,2.52,1.11,0.46,0.33,4.42,77.0,7.9,E10+
PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41,97.0,7.5,T
PS2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,86.0,8.9,E
X360,2006,Role-Playing,Take-Two Interactive,2.82,1.03,0.13,0.4,4.38,94.0,8.7,M
NES,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38,71.0,7.5,
PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37,82.0,9.1,T
Wii,2010,Misc,Ubisoft,2.64,1.33,0.01,0.39,4.36,56.0,8.3,E10+
PS3,2014,Shooter,Activision,1.56,1.93,0.19,0.68,4.36,71.0,4.8,M
PS3,2006,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,0.75,4.34,86.0,8.1,M
GEN,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34,71.0,7.5,
PS2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33,87.0,9.0,E10+
3DS,2011,Action,Nintendo,2.09,1.31,0.62,0.31,4.33,71.0,7.5,
WiiU,2013,Platform,Nintendo,2.11,1.16,0.73,0.32,4.32,93.0,9.0,E
PS4,2014,Misc,Sony Computer Entertainment Europe,1.48,2.02,0.14,0.68,4.32,71.0,7.5,
2600,1980,Shooter,Atari,4.0,0.26,0.0,0.05,4.31,71.0,7.5,
X360,2014,Shooter,Activision,2.77,1.11,0.0,0.4,4.29,71.0,4.9,M
PS3,2014,Sports,Electronic Arts,0.58,3.02,0.04,0.64,4.28,71.0,4.5,E
X360,2008,Role-Playing,Microsoft Game Studios,2.51,1.24,0.11,0.41,4.27,89.0,6.5,M
GBA,2001,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24,79.0,7.3,E
PS3,2009,Action,Eidos Interactive,2.24,1.31,0.07,0.61,4.23,91.0,8.9,T
PS2,2004,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23,91.0,9.3,M
PS3,2011,Action,Ubisoft,1.41,2.01,0.1,0.7,4.22,80.0,7.5,M
XOne,2015,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22,88.0,6.2,M
X360,2013,Sports,Electronic Arts,0.92,2.89,0.01,0.4,4.22,84.0,4.2,E
PSP,2006,Platform,Sony Computer Entertainment,2.45,1.01,0.0,0.75,4.21,85.0,8.7,E10+
PC,1995,Strategy,Activision,1.7,2.27,0.0,0.23,4.21,71.0,7.5,
PS2,2005,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,80.0,7.8,E
PS2,2003,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2,80.0,7.5,E
PS3,2007,Racing,Sony Computer Entertainment,1.28,1.82,0.57,0.52,4.19,80.0,7.1,E
X360,2011,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19,80.0,7.2,M
